Fabricante,Modelo,Teto de Voo (m),Capacidade de Carga (ton),Desempenho - Distância (km),Consumo de Combustível (kg/h)
Airbus,A320neo,11.845,77.1,6.380,27.200
Boeing,737 MAX 8,12.500,23.9,6.510,28.100
Embraer,E195-E2,11.700,26.1,4.290,14.500
Airbus,A350-900,15.000,165.0,15.700,52.600
Boeing,787-9,15.200,130.0,14.500,49.900
Airbus,A220-300,11.800,60.5,6.700,23.900
Comac,C919,10.000,56.0,5.580,27.200
Irkut,MC-21-300,11.500,62.0,6.380,25.400
Sukhoi,Superjet 100,11.800,12.7,4.075,16.500
Bombardier,CRJ900,10.700,18.9,3.800,8.300
